Name,Group,Release,Daily,Weekly,Description
HddPswTest.hdd_password_5010(),,,,Yes,"TCG协议管理员,用户密码测试"
HddPswTest.hdd_password_5011(),,,,Yes,TCG协议删除硬盘管理员&用户密码
HddPswTest.hdd_password_5012(),,,,Yes,TCG协议硬盘密码权限检查
HddPswTest.hdd_password_5013(),,,,Yes,TCG协议硬盘密码输错测试
HddPswTest.hdd_password_5014(),,,,Yes,TCG协议硬盘密码ESC跳过测试
HddPswTest.hdd_password_5015(),,,,Yes,TCG协议硬盘密码校验测试
HddPswTest.hdd_password_5016(),,,,Yes,TCG协议硬盘密码更新BIOS
HddPswTest.hdd_password_5031(),,,,Yes,ATA协议硬盘密码检查设置
HddPswTest.hdd_password_5032(),,,,Yes,设置ATA协议硬盘密码的哈希算法
HddPswTest.hdd_password_5033(),,,,Yes,ATA协议硬盘用户密码长度边界值校验
HddPswTest.hdd_password_5034(),,,,Yes,ATA协议硬盘管理员密码长度边界值校验
HddPswTest.hdd_password_5035(),,,,Yes,ATA协议硬盘用户密码复杂度检查
HddPswTest.hdd_password_5036(),,,,Yes,ATA协议硬盘管理员密码复杂度检查
HddPswTest.hdd_password_5037(),,,,Yes,更改ATA协议硬盘用户密码
HddPswTest.hdd_password_5038(),,,,Yes,修改ATA协议硬盘管理员密码
HddPswTest.hdd_password_5039(),,,,Yes,删除ATA协议硬盘密码
HddPswTest.hdd_password_5040(),,,,Yes,"ATA协议管理员,用户密码测试"
HddPswTest.hdd_password_5041(),,,,Yes,ATA协议NVME硬盘密码状态检查
HddPswTest.hdd_password_5042(),,,,Yes,ATA协议SATA硬盘密码状态检查
HddPswTest.hdd_password_5043(),,,,Yes,ATA协议硬盘密码输错测试
HddPswTest.hdd_password_5044(),,,,Yes,ATA协议硬盘密码ESC跳过测试
HddPswTest.hdd_password_5045(),,,,Yes,ATA协议NVME硬盘密码校验测试
HddPswTest.hdd_password_5046(),,,,Yes,ATA协议SATA硬盘密码校验测试
HddPswTest.hdd_password_5047(),,,,Yes,ATA协议硬盘密码更新BIOS
HddPswTest.hdd_password_5061(),,,,Yes,多硬盘密码输错测试(两个NVME)
HddPswTest.hdd_password_5062(),,,,Yes,多硬盘ESC跳过密码测试(两个NVME)
